display_name,symbol_name,exchange_id,instrument,underlying_symbol,security_id
BEL 30 OCT 345 CALL,BELLOPT,BSE,OPTSTK,BEL,863090
PNBHOUSING 30 OCT 720 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863091
BLUESTARCO 30 OCT 1560 CALL,BUSLOPT,BSE,OPTSTK,BLUESTARCO,863092
SBICARD 30 OCT 730 PUT,SCPLOPT,BSE,OPTSTK,SBICARD,863093
ONGC 30 OCT 200 PUT,ONGCOPT,BSE,OPTSTK,ONGC,863095
HAVELLS 25 SEP 1340 CALL,HAILOPT,BSE,OPTSTK,HAVELLS,863097
DABUR 25 SEP 570 PUT,DABUOPT,BSE,OPTSTK,DABUR,863098
SONACOMS 30 OCT 370 PUT,SONAOPT,BSE,OPTSTK,SONACOMS,863099
SOLARINDS 25 SEP 12000 CALL,SOLAOPT,BSE,OPTSTK,SOLARINDS,863101
MFSL 30 OCT 1340 CALL,MXFSOPT,BSE,OPTSTK,MFSL,863102
IIFL 30 OCT 400 PUT,IIFLOPT,BSE,OPTSTK,IIFL,863104
TATAMOTORS 30 OCT 580 PUT,TAMOOPT,BSE,OPTSTK,TATAMOTORS,863105
SENSEX 25 SEP 73200 PUT,BSXOPT,BSE,OPTIDX,SENSEX,863108
SOLARINDS 30 OCT 12000 PUT,SOLAOPT,BSE,OPTSTK,SOLARINDS,863110
PNB 30 OCT 96 PUT,PNBKOPT,BSE,OPTSTK,PNB,863111
GODREJPROP 30 OCT 1700 CALL,GPRLOPT,BSE,OPTSTK,GODREJPROP,863112
MCX 30 OCT 6900 PUT,MCXLOPT,BSE,OPTSTK,MCX,863113
HINDPETRO 30 OCT 369.5 PUT,HPCLOPT,BSE,OPTSTK,HINDPETRO,863114
PNBHOUSING 30 OCT 760 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863116
IIFL 25 SEP 380 PUT,IIFLOPT,BSE,OPTSTK,IIFL,863117
BANKEX 30 OCT 54400 CALL,BKXOPT,BSE,OPTIDX,BANKEX,863119
OFSS 25 SEP 7700 PUT,OFSSOPT,BSE,OPTSTK,OFSS,863120
IIFL 30 OCT 370 CALL,IIFLOPT,BSE,OPTSTK,IIFL,863121
SUNPHARMA 30 OCT 1480 CALL,SUNPOPT,BSE,OPTSTK,SUNPHARMA,863123
SENSEX50 30 OCT 24700 CALL,SX50OPT,BSE,OPTIDX,SENSEX50,863125
LUPIN 30 OCT 1720 CALL,LUPLOPT,BSE,OPTSTK,LUPIN,863126
PNB 30 OCT 97 CALL,PNBKOPT,BSE,OPTSTK,PNB,863127
CONCOR 25 SEP 500 CALL,CCOIOPT,BSE,OPTSTK,CONCOR,863128
SENSEX 25 SEP 73100 CALL,BSXOPT,BSE,OPTIDX,SENSEX,863129
